aliasType,aliasValue,type,firstName,secondName,lastName,secondLastName,proprietary,identification,bankAccountType,bankAccountNumber,routerReference,targetSpbviCode,bankId,consented,received,dispatched,comentario
"""NRIC""","""{{identificacion}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""CC""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC1_CP1 Validar Documento de Identidad NRIC 
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""CC""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC1_CP2 Validar Numero Celular M 
"""EMAIL""","""{{randomEmail}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""CC""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC1_CP3 Validar Correo electrónico E 
"""ALPHANUM""","""{{alfanumerico}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""CC""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC1_CP4 Validar datos Alfanumérico O 
"""MERCHANT""","""{{merchant}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""CC""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC1_CP5 Validar datos Merchant B 
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""CC""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","DC2_CP1 Validar Cedula de Ciudadanía  """"""MOLINA"""""""
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""CE""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC2_CP2 Validar Cedula de Extranjería  CE
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""NUIP""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC2_CP3 Validar Número Único de Identificación  NUIP
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""TI""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC2_CP4 Validar Tarjeta de Identidad  TDI
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PPT""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","DC2_CP5 Validar Permiso de prote""""""MOLINA""""""ión Temporal  PPT"
