aliasType,aliasValue,type,firstName,secondName,lastName,secondLastName,proprietary,identification,bankAccountType,bankAccountNumber,routerReference,targetSpbviCode,bankId,consented,received,dispatched,comentario
NRIC,{{identificacion}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,CC,{{identificacion}},SVGS,1,23457E+34,$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  C402 -El número de medio de pago excede 34 dígitos
PHONE,{{randomCel}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,CC,{{identificacion}},RBGO,{{randomNumericValue}},$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  C403-El tipo de medio de pago debe ser uno de los registrados en el diccionario global
EMAIL,{{randomEmail}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,CC,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY2,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  C404-La EASPBV Receptor debe ser una de las registradas en el diccionario global
ALPHANUM,{{alfanumerico}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,PET,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  C405- El tipo de documento debe ser uno de los registrados en el diccionario global
MERCHANT,{{merchant}},PERSON1,CARLOS,ANDRES,VALENZUELA,MOLINA,CC,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  C406- El tipo de persona debe ser uno de los registrados en el diccionario global
PHONE,{{randomCel2}},PERSON,CARLOS 1232343456567678789867543212345678,ANDRES,VALENZUELA,MOLINA,CC,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  C409- Se excede la longitud para nombre de persona jurídica o natural
PHONE,{{randomCel}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,CE,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  C410- La llave debe cumplir las reglas adicionales
PHONE,{{randomCel}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,TI,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  U000 - happy pathc
PHONE,{{randomCel}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,PPT,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY3,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  U103- El código de la EASPBV no existe
PHONE1,{{randomCel}},PERSON,CARLOS,ANDRES,VALENZUELA,MOLINA,NIT,{{identificacion}},SVGS,{{randomNumericValue}},$bancorojo,TFY,900504001,{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},{{fecha_actual_formato_iso}},Validar codigo de respuesta  U250- El tipo de llave debe ser uno de los registrados en el diccionario global
